NUMBER	GLOSS	ORTH_NEEDHAM	PHON_NEEDHAM	ROMAN_MODERN	PHON_MODERN	ORTH_MODERN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
121	hair	kû´mûl	ku.mul	khux.mulz	kʰu₂mul₁	𖪡𖪇.𖪫𖪄𖪮		2648	HAIR (HEAD)
122	hand	yok´phâ	jɒk.pʰɑ	yvuk.phac	ʒɐuk₄pʰa₃	𖪥𖩸𖪄𖪠.𖪩𖩵		1277	HAND
123	hat	khû´phûk	kʰu.pʰuk	khux.phuk	kʰu₂pʰuk₄	𖪡𖪇.𖪩𖪄𖪠		771	HAT
124	he	â´pî	ɑ.pi	v.piq	ə₀piʔ₄	𖩸.𖪧𖪂		2642	HE OR SHE
125	here	â´nü	ɑ.ny	v.nuex	ə₀nɤ₂	𖩸.𖪬𖪗		136	HERE
126	here	â´yü	ɑ.jy	--	--	--		136	HERE
127	head	khû	kʰu	khux	kʰu₂	𖪡𖪇		1256	HEAD
128	heavy	â´lî	ɑ.liˀ	v.liz	ə₀li₁ / liʔ₄	𖩸.𖪮𖪀		1210	HEAVY
129	hill	kû	ku	kuz	ku₁	𖪠𖪄		614	HILL
130	horn	â´rûng	ɑ.ruŋ	v.rungx	ə₀ruŋ₂	𖩸.𖪲𖪇𖪐		1393	HORN (ANATOMY)
131	hot	â´kâl	ɑ.kɑl	v.kalx	ə₀kal₂	𖩸.𖪠𖩷𖪮		2272	HOT OR WARM
132	house	yim, yüm	jɪm, jym	yuimx	ʒɨm₂	𖪥𖪏𖪫		1252	HOUSE
133	notched steps leading up to house	hî´khû	hi.kʰu	hix.khux	hi₂kʰu₂	𖪭𖪃.𖪡𖪇			
134	how	m´khô´lâ	m.kʰo.lɑ	mz.'khoc lac	m₁kʰo₃ la₃	𖪜.'𖪡𖩱 𖪮𖩵		1239	HOW
135	high	yûng	juŋ	yungx	ʒuŋ₂	𖪥𖪇𖪐	this would only mean tall in terms of a person or mountain as it actually means large or big	1202	BIG
136	I	ngâ	ŋɑ	ngaz	ŋa₁	𖪣𖩴		1209	I
137	ill	â´tû	ɑ.tu	v.thuiuz	ə₀t̪ɨu₁	𖩸.𖪹𖪘		1847	SICK
138	Indian corn	powûng	pɒ.wuŋ	puix.wungx	pɨ₂βuŋ₂	𖪧𖪏.𖪦𖪇𖪐		506	MAIZE
139	iron	yân	jɑn	yanx	ʒan₂	𖪥𖩷𖪬		621	IRON
140	jungle	yâ´rü, jâ´rü	jɑ.ry, ʧɑ.ry	yayz.ruix	ʒai₁rɨ₂	𖪥𖩴𖪀.𖪲𖪏		3808	JUNGLE
141	kill	tat	tʌt	thvt	t̪ɐt₄	𖪹𖩸𖪰		1417	KILL
